"자치구별(1)",자치구별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"자치구별(1)",자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)",자치구별(2),소계,소계,살인,살인,강도,강도,강간·강제추행,강간·강제추행,절도,절도,폭력,폭력
"자치구별(1)",자치구별(2),발생,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거
"합계",소계,80819,63275,149,137,87,85,5523,5183,35506,22796,39554,35074
"합계",종로구,2765,3248,2,3,5,10,209,933,1183,1056,1366,1246
"합계",중구,2955,2180,5,4,5,5,177,121,1398,816,1370,1234
"합계",용산구,3322,2475,10,6,4,3,267,235,1082,589,1959,1642
"합계",성동구,2117,1510,5,6,3,3,114,90,966,544,1029,867
"합계",광진구,2870,2219,2,2,6,7,235,183,1320,942,1307,1085
"합계",동대문구,3216,2482,7,6,4,2,125,110,1617,1060,1463,1304
"합계",중랑구,3169,2463,5,5,2,2,143,116,1437,931,1582,1409
"합계",성북구,2184,1749,3,2,1,1,146,109,884,578,1150,1059
"합계",강북구,2289,2061,6,6,-,-,142,112,970,835,1171,1108
"합계",도봉구,1741,1379,7,3,-,1,73,61,800,520,861,794
"합계",노원구,3101,2409,7,5,3,2,146,126,1508,899,1437,1377
"합계",은평구,3217,2463,9,9,1,4,132,108,1517,993,1558,1349
"합계",서대문구,2054,1486,3,3,-,-,131,119,1014,588,906,776
"합계",마포구,3891,3033,4,3,4,5,503,389,1471,949,1909,1687
"합계",양천구,3000,2113,4,4,1,1,109,88,1518,832,1368,1188
"합계",강서구,4008,3411,5,5,6,4,271,214,1670,1275,2056,1913
"합계",구로구,3378,2463,7,6,-,1,186,133,1572,918,1613,1405
"합계",금천구,2017,1710,7,6,3,3,129,99,886,685,992,917
"합계",영등포구,4167,3347,11,11,6,5,284,204,1791,1323,2075,1804
"합계",동작구,2454,1760,1,1,1,1,180,109,1085,598,1187,1051
"합계",관악구,4485,3516,4,5,3,2,338,284,1971,1212,2169,2013
"합계",서초구,3788,2928,10,10,5,2,364,312,1585,1017,1824,1587
"합계",강남구,6107,4570,16,17,17,12,640,533,2097,1140,3337,2868
"합계",송파구,5174,3790,6,5,3,5,315,255,2502,1506,2348,2019
"합계",강동구,3350,2510,3,4,4,4,164,140,1662,990,1517,1372
