행정동_코드,행정동_코드_명,medical,education,shopping,bank,gov,culture,intercity,intracity
11740700,둔촌2동,18.0,6.0,0.0,4.0,5.0,0.0,0.0,33.0
11740690,둔촌1동,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0
11740685,길동,39.0,9.0,0.0,10.0,6.0,0.0,0.0,37.0
11740660,성내3동,13.0,4.0,0.0,5.0,4.0,0.0,0.0,14.0
11740650,성내2동,18.0,0.0,0.0,3.0,2.0,1.0,0.0,19.0
11740640,성내1동,11.0,5.0,0.0,4.0,6.0,1.0,0.0,20.0
11740620,천호3동,16.0,1.0,0.0,3.0,4.0,1.0,0.0,11.0
11740610,천호2동,27.0,3.0,0.0,3.0,4.0,3.0,0.0,22.0
11740600,천호1동,11.0,4.0,0.0,1.0,4.0,1.0,0.0,12.0
11740590,암사3동,5.0,4.0,0.0,1.0,2.0,0.0,0.0,12.0
11740580,암사2동,6.0,3.0,0.0,3.0,1.0,0.0,0.0,7.0
11740570,암사1동,8.0,3.0,1.0,1.0,2.0,0.0,0.0,13.0
11740560,고덕2동,9.0,6.0,0.0,1.0,3.0,0.0,0.0,26.0
11740550,고덕1동,4.0,5.0,0.0,0.0,3.0,0.0,0.0,27.0
11740540,명일2동,18.0,7.0,0.0,6.0,3.0,0.0,0.0,18.0
11740530,명일1동,19.0,1.0,0.0,6.0,5.0,0.0,0.0,23.0
11740520,상일동,9.0,13.0,0.0,2.0,4.0,0.0,0.0,37.0
11740515,강일동,12.0,7.0,0.0,3.0,5.0,0.0,0.0,82.0
11710720,잠실7동,4.0,4.0,0.0,4.0,2.0,0.0,0.0,5.0
11710710,잠실6동,24.0,2.0,0.0,17.0,4.0,1.0,0.0,15.0
11710690,잠실4동,10.0,4.0,0.0,3.0,3.0,0.0,0.0,9.0
11710680,잠실3동,11.0,5.0,0.0,9.0,5.0,0.0,0.0,16.0
11710670,잠실2동,14.0,7.0,0.0,6.0,4.0,0.0,0.0,6.0
11710650,잠실본동,25.0,1.0,0.0,9.0,5.0,0.0,0.0,13.0
11710647,위례동,5.0,5.0,0.0,1.0,3.0,0.0,0.0,32.0
11710646,장지동,10.0,7.0,0.0,3.0,4.0,1.0,0.0,42.0
11710642,문정2동,23.0,1.0,0.0,12.0,10.0,2.0,0.0,17.0
11710641,문정1동,5.0,3.0,0.0,1.0,3.0,0.0,0.0,19.0
11710632,가락2동,17.0,7.0,0.0,6.0,3.0,0.0,0.0,23.0
11710631,가락1동,13.0,3.0,1.0,8.0,2.0,0.0,0.0,19.0
11710620,가락본동,27.0,5.0,0.0,9.0,5.0,0.0,0.0,21.0
11710610,삼전동,14.0,6.0,0.0,2.0,4.0,1.0,0.0,13.0
11710600,석촌동,29.0,5.0,0.0,7.0,3.0,0.0,0.0,20.0
11710590,송파2동,11.0,9.0,0.0,1.0,3.0,0.0,0.0,7.0
11710580,송파1동,17.0,2.0,0.0,4.0,2.0,0.0,0.0,15.0
11710570,오금동,13.0,12.0,0.0,5.0,5.0,0.0,0.0,30.0
11710566,오륜동,6.0,19.0,0.0,6.0,4.0,0.0,0.0,18.0
11710562,방이2동,18.0,2.0,0.0,5.0,3.0,0.0,0.0,14.0
11710561,방이1동,10.0,6.0,0.0,1.0,2.0,0.0,0.0,12.0
11710550,마천2동,14.0,1.0,0.0,2.0,3.0,0.0,0.0,12.0
11710540,마천1동,8.0,2.0,0.0,1.0,4.0,1.0,0.0,16.0
11710532,거여2동,13.0,3.0,0.0,3.0,3.0,0.0,0.0,11.0
11710531,거여1동,2.0,2.0,0.0,0.0,2.0,1.0,0.0,7.0
11710520,풍납2동,27.0,11.0,0.0,5.0,5.0,0.0,0.0,25.0
11710510,풍납1동,7.0,2.0,0.0,0.0,3.0,0.0,0.0,6.0
11680750,수서동,11.0,6.0,0.0,3.0,3.0,0.0,0.0,25.0
11680740,일원2동,6.0,4.0,0.0,3.0,3.0,0.0,0.0,14.0
11680730,일원1동,11.0,4.0,0.0,1.0,4.0,0.0,0.0,18.0
11680720,일원본동,16.0,7.0,0.0,6.0,2.0,0.0,0.0,33.0
11680700,세곡동,9.0,9.0,0.0,1.0,4.0,0.0,0.0,95.0
11680690,개포4동,7.0,4.0,0.0,4.0,3.0,0.0,0.0,49.0
11680670,개포2동,9.0,13.0,0.0,3.0,3.0,0.0,0.0,53.0
11680660,개포1동,1.0,3.0,0.0,1.0,1.0,0.0,0.0,29.0
11680656,도곡2동,10.0,6.0,0.0,23.0,7.0,0.0,0.0,28.0
11680655,도곡1동,25.0,6.0,0.0,9.0,4.0,0.0,0.0,28.0
11680650,역삼2동,27.0,5.0,0.0,14.0,3.0,0.0,0.0,31.0
11680640,역삼1동,68.0,2.0,0.0,49.0,15.0,4.0,0.0,45.0
11680630,대치4동,20.0,2.0,1.0,12.0,4.0,0.0,0.0,14.0
11680610,대치2동,22.0,4.0,0.0,26.0,6.0,0.0,0.0,41.0
11680600,대치1동,13.0,6.0,0.0,11.0,4.0,0.0,0.0,24.0
11680590,삼성2동,11.0,3.0,0.0,11.0,10.0,0.0,0.0,32.0
11680580,삼성1동,16.0,4.0,1.0,26.0,6.0,1.0,0.0,41.0
11680565,청담동,31.0,7.0,0.0,19.0,11.0,0.0,0.0,26.0
11680545,압구정동,35.0,6.0,3.0,25.0,4.0,3.0,0.0,20.0
11680531,논현2동,34.0,7.0,0.0,16.0,8.0,2.0,0.0,34.0
11680521,논현1동,46.0,1.0,1.0,15.0,4.0,8.0,0.0,26.0
11680510,신사동,36.0,6.0,1.0,14.0,3.0,1.0,0.0,13.0
11650660,내곡동,3.0,6.0,1.0,1.0,5.0,0.0,0.0,86.0
11650652,양재2동,11.0,4.0,1.0,16.0,2.0,0.0,0.0,58.0
11650651,양재1동,21.0,9.0,0.0,11.0,12.0,0.0,0.0,88.0
11650621,방배4동,11.0,6.0,0.0,10.0,3.0,1.0,0.0,32.0
11650620,방배3동,8.0,10.0,0.0,3.0,4.0,0.0,0.0,50.0
11650610,방배2동,3.0,3.0,1.0,2.0,4.0,1.0,0.0,38.0
11650600,방배1동,11.0,4.0,1.0,4.0,3.0,0.0,0.0,20.0
11650590,방배본동,16.0,1.0,1.0,6.0,2.0,0.0,0.0,25.0
