행정동명,보증금(만원),임대면적(㎡)
가락2동,65000.0,59.968
가리봉동,15000.0,30.33
가산동,20050.0,25.63
가양1동,34000.0,49.5
가회동,24750.0,43.480000000000004
갈현2동,18500.0,44.5
강일동,50400.0,84.74
개봉3동,27352.5,59.86
개포3동,65000.0,68.39
거여2동,57100.0,59.98
고덕2동,63000.0,59.785
고척1동,29000.0,59.94
공덕동,74525.0,59.965
공릉2동,32500.0,59.34
광장동,70000.0,84.55
광희동,26500.0,26.4795
교남동,94500.0,59.98
구로2동,28000.0,51.84
구산동,20000.0,55.27
구의1동,28000.0,54.63
군자동,20000.0,29.99
금호1가동,78750.0,84.45
금호2·3가동,69000.0,59.99
금호4가동,76750.0,84.71
길동,28035.0,47.94
길음1동,58000.0,59.99
길음2동,45000.0,59.98
난향동,19000.0,42.5
남가좌2동,65000.0,84.8145
남영동,29250.0,35.125
남현동,21000.0,33.41
내곡동,49612.0,59.94
노량진1동,47000.0,59.794
녹번동,26000.0,56.02
논현2동,34000.0,43.01
능동,21900.0,29.23
답십리2동,47625.0,59.95
당산1동,35000.0,46.88
당산2동,54000.0,59.4
대림2동,29172.0,57.0
대방동,36000.0,58.65
대조동,19000.0,32.9
도곡2동,95000.0,84.94
도림동,31500.0,59.695
도봉2동,29400.0,73.89
도화동,42000.0,59.4
독산3동,23000.0,35.13
동선동,14847.0,36.31
둔촌2동,43000.0,59.78
등촌1동,29750.0,42.645
마장동,38000.0,59.91
마천1동,19000.0,55.71
망우본동,25400.0,49.59
망원1동,27175.0,47.21
면목본동,22000.0,44.35
명동,20000.0,18.6
명일1동,44875.0,66.87
목5동,47000.0,61.56
무악동,76800.0,84.858
묵1동,28900.0,59.76
문래동,47000.0,70.705
미아동,28300.0,59.67
반포3동,90000.0,84.54
반포4동,83500.0,71.49
발산1동,47000.0,80.1
방배본동,43893.0,57.5
방학3동,21250.0,59.730500000000006
방화1동,31500.0,52.65
방화2동,8500.0,28.994999999999997
번2동,16500.0,41.3
보광동,23100.0,59.7
보문동,55000.0,59.791
부암동,28750.0,62.685
북가좌1동,27800.0,59.97
북아현동,48300.0,59.96
불광2동,22000.0,54.19
사근동,11000.0,24.93
사당2동,80000.0,84.95
사당3동,40000.0,59.89
사직동,52500.0,70.8
삼선동,45000.0,62.39
삼성2동,73500.0,70.0
삼전동,22950.0,41.233000000000004
삼청동,22000.0,46.27
상계6·7동,24150.0,49.94
상도1동,34000.0,59.816
상봉1동,26000.0,45.55
상암동,57500.0,84.73
상일1동,71400.0,84.23
서강동,59500.0,61.295
서교동,24000.0,33.0
서빙고동,25000.0,60.21
서초3동,56500.0,59.92
석관동,21000.0,40.62
석촌동,24850.0,41.17
성내3동,26000.0,45.98
성북동,24250.0,48.095
성산2동,30000.0,50.03
성수1가1동,58900.0,59.885
성수2가3동,26225.0,52.754999999999995
세곡동,54000.0,74.74
소공동,37000.0,44.48
송정동,19000.0,34.95
송파2동,34000.0,53.39
수궁동,16000.0,57.19
수색동,62000.0,78.285
수서동,47000.0,49.2
수유1동,16000.0,47.45
숭인2동,23000.0,27.3
시흥1동,18800.0,49.75
신길7동,35000.0,59.97
신내1동,23000.0,59.88
신당동,21373.5,24.15
신대방1동,47750.0,59.936
신도림동,53000.0,66.03
신수동,51950.0,59.85
신월3동,22435.0,52.85
신정1동,44100.0,66.24
신촌동,20000.0,23.45
쌍문3동,24000.0,58.77
안암동,14000.0,44.96
암사1동,38201.0,59.891
압구정동,55000.0,82.23
양재1동,35488.0,59.97
양평1동,36000.0,59.58
양평2동,31500.0,37.66
여의동,65000.0,92.13
역삼1동,31000.0,36.92
역촌동,20650.0,44.24
연남동,23000.0,48.16
연희동,20000.0,53.815
염리동,45100.0,59.74
염창동,49000.0,59.99
영등포동,25700.0,28.86
오금동,38488.0,59.87
오류1동,20000.0,45.5
오류2동,24923.0,84.92
오륜동,31500.0,50.485
옥수동,75000.0,84.51
왕십리2동,68000.0,59.99
왕십리도선동,30000.0,46.0
용강동,55000.0,59.96
용답동,22500.0,26.23
용문동,28682.5,40.504999999999995
용산2가동,20000.0,50.77
용신동,28000.0,40.88
우이동,16880.0,52.2
원효로1동,34650.0,38.61
원효로2동,26600.0,39.98
월계2동,28000.0,59.22
월곡2동,22500.0,59.519999999999996
위례동,63000.0,59.97
은천동,30000.0,58.59
을지로동,60000.0,47.980000000000004
응봉동,53275.0,75.51
응암3동,47000.0,59.96
이문1동,49575.0,59.95
이촌2동,65000.0,84.78
이태원1동,28500.0,44.76
이화동,16500.0,35.0
자양4동,30000.0,47.495000000000005
잠실6동,90000.0,84.79
잠실본동,59150.0,76.5
장안1동,30000.0,55.14
장위1동,21850.0,54.57
장지동,37480.0,48.96
장충동,31250.0,37.97
전농1동,35500.0,56.79
정릉3동,29400.0,59.94
제기동,24250.0,45.32
종로1·2·3·4가동,24000.0,34.15
종로5·6가동,22275.0,21.795
종암동,45000.0,59.98
중계1동,32000.0,59.26
중곡2동,20895.0,38.285
중림동,70780.0,68.07
중화2동,22000.0,37.705
증산동,66000.0,80.931
진관동,39950.0,84.69
창2동,25800.0,58.01
창신3동,28180.0,54.7
천연동,55000.0,59.86
천호2동,25000.0,41.105
청구동,47125.0,59.94
청담동,85000.0,82.35749999999999
