행정동명,보증금(만원),임대료(만원),임대면적(㎡)
가락2동,14954.0,61.0,43.07
가리봉동,1000.0,47.0,22.5
가산동,1000.0,55.0,17.69
가양1동,3000.0,60.0,34.44
가회동,4000.0,67.5,43.625
갈현2동,3000.0,47.0,37.44
강일동,5000.0,33.0,49.36
개봉3동,3000.0,48.0,46.46
개포3동,13000.0,95.0,49.99
거여2동,10000.0,50.0,44.25
고덕2동,15000.0,80.0,59.23
고척1동,2000.0,50.0,39.52
공덕동,7000.0,82.5,37.34
공릉2동,1000.0,45.0,18.18
광장동,20000.0,103.0,67.515
광희동,3000.0,101.0,28.406
교남동,12057.0,80.0,45.879
구로2동,1000.0,55.0,29.455
구산동,4000.0,40.0,32.18
구의1동,5000.0,55.0,30.795
군자동,1000.0,57.0,20.0
금호1가동,20000.0,137.0,59.983
금호2·3가동,10000.0,90.0,59.98
금호4가동,20000.0,150.0,84.71
길동,3000.0,52.5,28.58
길음1동,10000.0,100.0,59.97
길음2동,1000.0,55.0,21.0
난향동,1000.0,50.0,21.0
남가좌2동,2229.5,50.0,34.12
남영동,2000.0,91.0,35.26
남현동,3000.0,55.0,23.0
내곡동,8000.0,67.0,49.33
노량진1동,1000.0,50.0,18.3
녹번동,3000.0,53.0,38.28
논현2동,2000.0,80.0,32.394999999999996
능동,3000.0,55.0,26.4
답십리2동,3000.0,60.0,29.93
당산1동,10000.0,48.0,29.55
당산2동,5000.0,60.0,24.8
대림2동,1000.0,50.0,28.96
대방동,5000.0,50.0,23.0
대조동,3000.0,41.0,28.28
도곡2동,20000.0,120.0,67.5
도림동,2000.0,55.0,30.87
도봉2동,1500.0,50.0,36.32
도화동,2000.0,55.0,22.0
독산3동,3000.0,46.0,29.355
동선동,1000.0,55.0,21.645000000000003
둔촌2동,10000.0,55.0,40.0
등촌1동,5000.0,55.0,29.13
마장동,2044.0,55.0,20.0
마천1동,4347.0,35.0,49.5
망우본동,4083.5,32.0,36.0
망원1동,3000.0,60.0,34.78
면목본동,2000.0,45.0,32.93
명동,1000.0,70.0,20.28
명일1동,8749.0,70.0,42.93
목5동,10000.0,60.0,44.010000000000005
무악동,15000.0,165.0,84.858
묵1동,3000.0,47.0,33.0
문래동,25000.0,65.0,59.9
미아동,1000.0,50.0,37.2
반포3동,25250.0,132.0,79.42
반포4동,10000.0,105.0,59.26
발산1동,4743.0,47.0,41.625
방배본동,8000.0,70.0,42.26
방학3동,1000.0,54.0,40.0
방화1동,2000.0,60.0,23.84
방화2동,500.0,35.0,22.515
번2동,1000.0,50.0,30.0
보광동,1500.0,65.0,49.44
보문동,3000.0,54.5,31.057499999999997
부암동,3000.0,50.0,33.8
북가좌1동,2000.0,50.0,39.6
북아현동,3000.0,72.0,48.0
불광2동,5000.0,41.0,35.115
사근동,1000.0,55.0,18.36
사당2동,44450.0,122.5,84.95
사당3동,4000.0,55.0,30.0
사직동,1000.0,105.0,37.56
삼선동,3000.0,60.0,38.0
삼성2동,10000.0,110.0,53.86
삼전동,8000.0,50.0,36.3
삼청동,3500.0,66.0,48.415
상계6·7동,3000.0,50.0,45.55
상도1동,2000.0,52.0,20.0
상봉1동,7542.0,50.0,26.4
상암동,2498.0,60.0,25.48
상일1동,10000.0,50.0,59.97
서강동,2000.0,59.0,25.009999999999998
서교동,2000.0,65.0,26.07
서빙고동,4000.0,73.0,64.97
서초3동,5000.0,92.0,32.69
석관동,1000.0,50.0,31.39
석촌동,5000.0,53.0,29.97
성내3동,5000.0,50.0,30.25
성북동,4000.0,56.0,34.03
성산2동,3000.0,70.0,20.57
성수1가1동,5000.0,100.0,40.72
성수2가3동,3000.0,70.0,32.28
세곡동,6000.0,70.0,26.78
소공동,2250.0,140.0,41.14
송정동,1000.0,50.0,30.0
송파2동,9000.0,55.5,35.445
수궁동,2500.0,47.0,46.51
수색동,10000.0,100.0,59.96
수서동,10000.0,105.0,39.6
수유1동,1000.0,50.0,28.0
숭인2동,1000.0,62.0,22.42
시흥1동,2000.0,40.0,34.45
신길7동,2000.0,50.0,30.27
신내1동,5000.0,34.0,49.69
신당동,1000.0,78.0,23.82
신대방1동,1000.0,50.0,24.14
