행정동명,보증금(만원),임대료(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade
가락2동,14954,61,43.07,11710632,17,7,0,6,3,0,0,23,송파구,0.06401959935,0.7325086973,DANGER
가리봉동,1000,47,22.5,11530595,6,2,0,0,0,23,0,8,구로구,0.04179710217,0.7291296625,NORMAL
가산동,1000,55,17.69,11545510,22,2,0,25,10,18,0,114,금천구,0.02495700269,0.8477937531,SAFE
가양1동,3000,60,34.44,11500603,20,6,0,13,5,3,0,74,강서구,0.04959229884,0.8510479042,DANGER
가회동,4000,67.5,43.625,11110600,1,6,0,3,5,0,0,22,종로구,0.03421225207,1.174683544,NORMAL
갈현2동,3000,47,37.44,11380552,16,13,0,1,3,0,0,35,은평구,0.03980499635,0.765620143,NORMAL
강일동,5000,33,49.36,11740515,12,7,0,3,5,0,0,82,강동구,0.04145064898,0.7492537313,NORMAL
개봉3동,3000,48,46.46,11530760,9,5,1,2,3,1,0,23,구로구,0.04179710217,0.7291296625,NORMAL
개포3동,13000,95,49.99,11230511,6,4,0,3,3,0,0,14,강남구,0.07556391443,0.7483215982,DANGER
거여2동,10000,50,44.25,11710532,13,3,0,3,3,0,0,11,송파구,0.06401959935,0.7325086973,DANGER
고덕2동,15000,80,59.23,11740560,9,6,0,1,3,0,0,26,강동구,0.04145064898,0.7492537313,NORMAL
고척1동,2000,50,39.52,11530720,11,17,8,4,5,4,0,31,구로구,0.04179710217,0.7291296625,NORMAL
공덕동,7000,82.5,37.34,11440565,21,4,2,9,7,0,0,43,마포구,0.04814461946,0.7794911334,DANGER
공릉2동,1000,45,18.18,11350600,15,77,1,6,7,0,0,64,노원구,0.0383696903,0.7768461787,NORMAL
광장동,20000,103,67.515,11215810,9,21,0,9,5,0,0,33,광진구,0.03551145152,0.7731707317,NORMAL
광희동,3000,101,28.406,11140590,15,1,1,16,3,14,0,22,중구,0.0365631844,0.7377326565,NORMAL
교남동,12057,80,45.879,11110580,19,2,0,3,4,0,0,26,종로구,0.03421225207,1.174683544,NORMAL
구로2동,1000,55,29.455,11530530,23,3,7,12,6,16,0,49,구로구,0.04179710217,0.7291296625,NORMAL
구산동,4000,40,32.18,11380560,9,11,0,0,3,0,0,38,은평구,0.03980499635,0.765620143,NORMAL
구의1동,5000,55,30.795,11215850,9,3,0,4,2,0,0,17,광진구,0.03551145152,0.7731707317,NORMAL
군자동,1000,57,20,11215730,13,23,0,5,5,1,0,23,광진구,0.03551145152,0.7731707317,NORMAL
금호1가동,20000,137,59.983,11200590,6,3,0,0,2,0,0,46,성동구,0.02619433549,0.7132735002,SAFE
금호23가동,10000,90,59.98,11040720,13,1,0,2,3,0,0,46,성동구,0.02619433549,0.7132735002,SAFE
금호4가동,20000,150,84.71,11200620,6,3,0,3,3,0,0,28,성동구,0.02619433549,0.7132735002,SAFE
길동,3000,52.5,28.58,11740685,39,9,0,10,6,0,0,37,강동구,0.04145064898,0.7492537313,NORMAL
길음1동,10000,100,59.97,11290660,10,7,1,4,3,0,0,27,성북구,0.02702334847,0.8008241758,SAFE
길음2동,1000,55,21,11290685,17,0,0,0,5,0,0,23,성북구,0.02702334847,0.8008241758,SAFE
난향동,1000,50,21,11620715,5,1,0,0,1,0,0,34,관악구,0.05549437632,0.7839464883,DANGER
남가좌2동,2229.5,50,34.12,11410700,12,14,0,4,4,0,0,24,서대문구,0.02541481582,0.723466407,SAFE
남영동,2000,91,35.26,11170530,14,1,0,5,7,12,0,29,용산구,0.0411041958,0.7450331126,NORMAL
남현동,3000,55,23,11620630,6,3,0,1,3,0,0,6,관악구,0.05549437632,0.7839464883,DANGER
내곡동,8000,67,49.33,11650660,3,6,1,1,5,0,0,86,서초구,0.04687016667,0.772967265,NORMAL
노량진1동,1000,50,18.3,11590510,14,7,0,4,5,2,0,60,동작구,0.03036414704,0.717196414,SAFE
녹번동,3000,53,38.28,11380510,14,4,1,3,8,1,0,37,은평구,0.03980499635,0.765620143,NORMAL
논현2동,2000,80,32.395,11680531,34,7,0,16,8,2,0,34,강남구,0.07556391443,0.7483215982,DANGER
능동,3000,55,26.4,11215780,6,2,0,0,4,0,0,6,광진구,0.03551145152,0.7731707317,NORMAL
답십리2동,3000,60,29.93,11230610,15,4,3,2,3,0,0,19,동대문구,0.03979262302,0.7717661692,NORMAL
당산1동,10000,48,29.55,11560550,9,1,0,5,6,12,0,25,영등포구,0.051559658,0.8032157427,DANGER
당산2동,5000,60,24.8,11560560,20,7,0,4,6,0,0,48,영등포구,0.051559658,0.8032157427,DANGER
대림2동,1000,50,28.96,11560710,17,3,0,2,4,1,0,13,영등포구,0.051559658,0.8032157427,DANGER
대방동,5000,50,23,11590660,16,14,0,5,5,0,0,63,동작구,0.03036414704,0.717196414,SAFE
대조동,3000,41,28.28,11380570,25,4,0,5,3,1,0,32,은평구,0.03980499635,0.765620143,NORMAL
도곡2동,20000,120,67.5,11680656,10,6,0,23,7,0,0,28,강남구,0.07556391443,0.7483215982,DANGER
도림동,2000,55,30.87,11560585,6,2,0,0,2,0,0,28,영등포구,0.051559658,0.8032157427,DANGER
도봉2동,1500,50,36.32,11320522,7,5,0,3,8,1,0,52,도봉구,0.02154196414,0.792073521,SAFE
도화동,2000,55,22,11440585,15,3,0,7,4,2,0,39,마포구,0.04814461946,0.7794911334,DANGER
독산3동,3000,46,29.355,11545630,14,7,1,4,4,0,0,29,금천구,0.02495700269,0.8477937531,SAFE
