행정동명,보증금(만원),임대료(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade,lat,lon
가락2동,14954.0,61.0,43.07,11710632,17,7,0,6,3,0,0,23,송파구,0.06401959935,0.7325086973,DANGER,37.4986984316406,127.126640056537
가리봉동,1000.0,47.0,22.5,11530595,6,2,0,0,0,23,0,8,구로구,0.04179710217,0.7291296625,NORMAL,37.4825327471336,126.889718085071
가산동,1000.0,55.0,17.69,11545510,22,2,0,25,10,18,0,114,금천구,0.02495700269,0.8477937531,SAFE,37.4768763179224,126.891779471155
가양1동,3000.0,60.0,34.44,11500603,20,6,0,13,5,3,0,74,강서구,0.04959229884,0.8510479042,DANGER,37.5694972894276,126.844728733334
가회동,4000.0,67.5,43.625,11110600,1,6,0,3,5,0,0,22,종로구,0.03421225207,1.174683544,NORMAL,37.5800968068427,126.984784487479
갈현2동,3000.0,47.0,37.44,11380552,16,13,0,1,3,0,0,35,은평구,0.03980499635,0.765620143,NORMAL,37.6185545088606,126.915845712352
강일동,5000.0,33.0,49.36,11740515,12,7,0,3,5,0,0,82,강동구,0.04145064898,0.7492537313,NORMAL,37.5650420192003,127.173906305383
개봉3동,3000.0,48.0,46.46,11530760,9,5,1,2,3,1,0,23,구로구,0.04179710217,0.7291296625,NORMAL,37.4860041527512,126.853852194023
개포3동,13000.0,95.0,49.99,11230511,6,4,0,3,3,0,0,14,강남구,0.07556391443,0.7483215982,DANGER,37.4921731813158,127.073699594468
거여2동,10000.0,50.0,44.25,11710532,13,3,0,3,3,0,0,11,송파구,0.06401959935,0.7325086973,DANGER,37.4935212106894,127.146908778436
고덕2동,15000.0,80.0,59.23,11740560,9,6,0,1,3,0,0,26,강동구,0.04145064898,0.7492537313,NORMAL,37.560525481066,127.164365974379
고척1동,2000.0,50.0,39.52,11530720,11,17,8,4,5,4,0,31,구로구,0.04179710217,0.7291296625,NORMAL,37.5003552584694,126.862762866771
공덕동,7000.0,82.5,37.34,11440565,21,4,2,9,7,0,0,43,마포구,0.04814461946,0.7794911334,DANGER,37.5501743473819,126.960034513244
